Source file: STIRRER  LEFT.dnl
Date: 01.03.2020
Time: 15:13
User name: MASTERDRIVES VC(CUVC)
Device type: MASTERDRIVES VC(CUVC)
SW version: 03.4
Bus address: 0
;;;;
MFLB: 6SE70 .. [18] 21-3E.6.                        
Converter supply voltage: 415 V
Converter current(n): 13.2 A
Converter power(n): 5.5 kW
Date of generation: 20.1.2005
Operating hours: 540.3.3052

;Basic board;Slot A;Slot C;Slot D;Slot E;Slot F;Slot G
P289;Decoupl. Gain 2;001;MDS1;25.0 %
P289;Decoupl. Gain 2;002;MDS2;25.0 %
P289;Decoupl. Gain 2;003;MDS3;25.0 %
P289;Decoupl. Gain 2;004;MDS4;25.0 %
P291;FSetp Flux (set);001;MDS1;100.0 %
P291;FSetp Flux (set);002;MDS2;100.0 %
P291;FSetp Flux (set);003;MDS3;100.0 %
P291;FSetp Flux (set);004;MDS4;100.0 %
P293;Field Weak Freq;001;MDS1;48.19 Hz
P293;Field Weak Freq;002;MDS2;50.00 Hz
P293;Field Weak Freq;003;MDS3;50.00 Hz
P293;Field Weak Freq;004;MDS4;50.00 Hz
P295;Efficiency Optim;001;MDS1;100.0 %
P295;Efficiency Optim;002;MDS2;100.0 %
P295;Efficiency Optim;003;MDS3;100.0 %
P295;Efficiency Optim;004;MDS4;100.0 %
P297;Flux Reg. Gain;001;MDS1;1.00 
P297;Flux Reg. Gain;002;MDS2;1.00 
P297;Flux Reg. Gain;003;MDS3;1.00 
P297;Flux Reg. Gain;004;MDS4;1.00 
P298;Flux Reg Time;001;MDS1;100 ms
P298;Flux Reg Time;002;MDS2;100 ms
P298;Flux Reg Time;003;MDS3;100 ms
P298;Flux Reg Time;004;MDS4;100 ms
P301;Smooth Psi(act);001;MDS1;4.0 ms
P301;Smooth Psi(act);002;MDS2;4.0 ms
P301;Smooth Psi(act);003;MDS3;4.0 ms
P301;Smooth Psi(act);004;MDS4;4.0 ms
r302;Flux(act);000;MDS4;81.2 %
P303;Smooth Flux(Set);001;MDS1;10 ms
P303;Smooth Flux(Set);002;MDS2;10 ms
P303;Smooth Flux(Set);003;MDS3;10 ms
P303;Smooth Flux(Set);004;MDS4;10 ms
r304;Flux(Set,Total);000;MDS4;100.0 %
P305;FieldWeakRegTime;001;MDS1;150 ms
P305;FieldWeakRegTime;002;MDS2;150 ms
P305;FieldWeakRegTime;003;MDS3;150 ms
P305;FieldWeakRegTime;004;MDS4;150 ms
P306;EMF(max);001;MDS1;497 V
P306;EMF(max);002;MDS2;479 V
P306;EMF(max);003;MDS3;479 V
P306;EMF(max);004;MDS4;479 V
P307;EMF(max.)-Reg Ti;001;MDS1;150 ms
P307;EMF(max.)-Reg Ti;002;MDS2;150 ms
P307;EMF(max.)-Reg Ti;003;MDS3;150 ms
P307;EMF(max.)-Reg Ti;004;MDS4;150 ms
r308;Psi(set,I-mod.);000;MDS4;81.2 %
r309;Psi(act,I-mod.);000;MDS4;0.0 %
P310;Psi(mod)-reg. Kp;001;MDS1;4.000 
P310;Psi(mod)-reg. Kp;002;MDS2;4.000 
P310;Psi(mod)-reg. Kp;003;MDS3;4.000 
P310;Psi(mod)-reg. Kp;004;MDS4;4.000 
P311;Psi(mod)-reg. Tn;001;MDS1;50 ms
P311;Psi(mod)-reg. Tn;002;MDS2;50 ms
P311;Psi(mod)-reg. Tn;003;MDS3;50 ms
P311;Psi(mod)-reg. Tn;004;MDS4;50 ms
P312;Kp L(sig,U mod.);001;MDS1;100.0 %
P312;Kp L(sig,U mod.);002;MDS2;100.0 %
P312;Kp L(sig,U mod.);003;MDS3;100.0 %
P312;Kp L(sig,U mod.);004;MDS4;100.0 %
P313;f(cEMF Mod);001;MDS1;5.00 Hz
P313;f(cEMF Mod);002;MDS2;5.00 Hz
P313;f(cEMF Mod);003;MDS3;5.00 Hz
P313;f(cEMF Mod);004;MDS4;5.00 Hz
P314;f(cEMF->AMP-mod);001;MDS1;50.0 %
P314;f(cEMF->AMP-mod);002;MDS2;50.0 %
P314;f(cEMF->AMP-mod);003;MDS3;50.0 %
P314;f(cEMF->AMP-mod);004;MDS4;50.0 %
P315;cEMF Reg Gain;001;MDS1;0.374 
P315;cEMF Reg Gain;002;MDS2;0.198 
P315;cEMF Reg Gain;003;MDS3;0.198 
P315;cEMF Reg Gain;004;MDS4;0.198 
P316;cEMF Reg Time;001;MDS1;34.0 ms
P316;cEMF Reg Time;002;MDS2;32.0 ms
P316;cEMF Reg Time;003;MDS3;32.0 ms
P316;cEMF Reg Time;004;MDS4;32.0 ms
P317;S.U (set);001;BiCoDS 1;K0  FixConn 0% 
P317;S.U (set);002;BiCoDS 2;K0  FixConn 0% 
P318;Boost Mode;001;MDS1;[1] Volt. Boost 
P318;Boost Mode;002;MDS2;[1] Volt. Boost 
P318;Boost Mode;003;MDS3;[1] Volt. Boost 
P318;Boost Mode;004;MDS4;[1] Volt. Boost 
P319;Boost Amps;001;MDS1;5.5 A
P319;Boost Amps;002;MDS2;6.6 A
P319;Boost Amps;003;MDS3;6.6 A
P319;Boost Amps;004;MDS4;6.6 A
P322;Accel Amps;001;MDS1;0.0 A
P322;Accel Amps;002;MDS2;0.0 A
P322;Accel Amps;003;MDS3;0.0 A
P322;Accel Amps;004;MDS4;0.0 A
P325;Boost Volts;001;MDS1;10.5 V
P325;Boost Volts;002;MDS2;12.0 V
P325;Boost Volts;003;MDS3;12.0 V
P325;Boost Volts;004;MDS4;12.0 V
P326;Boost End Freq;001;MDS1;10.00 Hz
P326;Boost End Freq;002;MDS2;10.00 Hz
P326;Boost End Freq;003;MDS3;10.00 Hz
P326;Boost End Freq;004;MDS4;10.00 Hz
P330;V/Hz Mode;001;MDS1;[0] linear 
P330;V/Hz Mode;002;MDS2;[0] linear 
P330;V/Hz Mode;003;MDS3;[0] linear 
P330;V/Hz Mode;004;MDS4;[0] linear 
P331;Imax Reg Gain;001;MDS1;0.050 
P331;Imax Reg Gain;002;MDS2;0.050 
P331;Imax Reg Gain;003;MDS3;0.050 
P331;Imax Reg Gain;004;MDS4;0.050 
P332;Imax Reg Time;001;MDS1;100 ms
P332;Imax Reg Time;002;MDS2;100 ms
P332;Imax Reg Time;003;MDS3;100 ms
P332;Imax Reg Time;004;MDS4;100 ms
P334;IxR Compens Gain;001;MDS1;0.00 %
P334;IxR Compens Gain;002;MDS2;0.00 %
P334;IxR Compens Gain;003;MDS3;0.00 %
P334;IxR Compens Gain;004;MDS4;0.00 %
P335;Smooth Isq;001;MDS1;2000 ms
P335;Smooth Isq;002;MDS2;2000 ms
P335;Smooth Isq;003;MDS3;2000 ms
P335;Smooth Isq;004;MDS4;2000 ms
P336;Slip Comp Gain;001;MDS1;0.0 %
P336;Slip Comp Gain;002;MDS2;0.0 %
P336;Slip Comp Gain;003;MDS3;0.0 %
P336;Slip Comp Gain;004;MDS4;0.0 %
P337;Reson Damp Gain;001;MDS1;0.025 
P337;Reson Damp Gain;002;MDS2;0.000 
P337;Reson Damp Gain;003;MDS3;0.000 
P337;Reson Damp Gain;004;MDS4;0.000 
P338;Common Mode Comp;001;PHUN;3.00 µs
P338;Common Mode Comp;002;PHUP;3.00 µs
P338;Common Mode Comp;003;PHVN;3.00 µs
P338;Common Mode Comp;004;PHVP;3.00 µs
P338;Common Mode Comp;005;PHWN;3.00 µs
P338;Common Mode Comp;006;PHWP;3.00 µs
P339;ModSystemRelease;001;MDS1;[0] all systems 
P339;ModSystemRelease;002;MDS2;[0] all systems 
P339;ModSystemRelease;003;MDS3;[0] all systems 
P339;ModSystemRelease;004;MDS4;[0] all systems 
P340;Pulse Frequency;001;MDS1;2.5 kHz
P340;Pulse Frequency;002;MDS2;2.5 kHz
P340;Pulse Frequency;003;MDS3;2.5 kHz
P340;Pulse Frequency;004;MDS4;2.5 kHz
P342;Max ModulatDepth;001;MDS1;96.0 %
P342;Max ModulatDepth;002;MDS2;96.0 %
P342;Max ModulatDepth;003;MDS3;96.0 %
P342;Max ModulatDepth;004;MDS4;96.0 %
r343;Modulation Depth;000;MDS4;80.8 %
P344;ModDepth Headrm;001;MDS1;0.0 %
P344;ModDepth Headrm;002;MDS2;0.0 %
P344;ModDepth Headrm;003;MDS3;0.0 %
P344;ModDepth Headrm;004;MDS4;0.0 %
r345;Mod Depth Limit;000;MDS4;96.0 %
r346;Max Output Volts;000;MDS4;420.0 V
P347;ON VoltsCompens.;001;MDS1;1.2 V
P347;ON VoltsCompens.;002;MDS2;1.4 V
P347;ON VoltsCompens.;003;MDS3;1.4 V
P347;ON VoltsCompens.;004;MDS4;1.4 V
P348;Dead Time Comp.;000;MDS4;[0] off 
P349;T(DeadTimeComp.);000;MDS4;2.05 µs
P350;Ref Amps;000;MDS4;20.0 A
P351;Ref Volts;000;MDS4;415 V
P352;Ref Frequency;000;MDS4;50.00 Hz
P353;Ref Speed;000;MDS4;1500 min¯¹
P354;Ref Torque;000;MDS4;39.60 Nm
P357;Sampling Time;000;MDS4;1.2 ms
P358;Key;001;MDS4;0x0 
P358;Key;002;MDS4;0x0 
P359;Lock;001;MDS4;0x0 
P359;Lock;002;MDS4;0x0 
P360;Select UserParam;001;MDS4;60 
P360;Select UserParam;002;MDS4;53 
P360;Select UserParam;003;MDS4;0 
P360;Select UserParam;004;MDS4;0 
P360;Select UserParam;005;MDS4;0 
P360;Select UserParam;006;MDS4;0 
P360;Select UserParam;007;MDS4;0 
P360;Select UserParam;008;MDS4;0 
P360;Select UserParam;009;MDS4;0 
P360;Select UserParam;010;MDS4;0 
P360;Select UserParam;011;MDS4;0 
P360;Select UserParam;012;MDS4;0 
P360;Select UserParam;013;MDS4;0 
P360;Select UserParam;014;MDS4;0 
P360;Select UserParam;015;MDS4;0 
P360;Select UserParam;016;MDS4;0 
P360;Select UserParam;017;MDS4;0 
P360;Select UserParam;018;MDS4;0 
P360;Select UserParam;019;MDS4;0 
P360;Select UserParam;020;MDS4;0 
P360;Select UserParam;021;MDS4;0 
P360;Select UserParam;022;MDS4;0 
P360;Select UserParam;023;MDS4;0 
P360;Select UserParam;024;MDS4;0 
P360;Select UserParam;025;MDS4;0 
P360;Select UserParam;026;MDS4;0 
P360;Select UserParam;027;MDS4;0 
P360;Select UserParam;028;MDS4;0 
P360;Select UserParam;029;MDS4;0 
P360;Select UserParam;030;MDS4;0 
P360;Select UserParam;031;MDS4;0 
P360;Select UserParam;032;MDS4;0 
P360;Select UserParam;033;MDS4;0 
P360;Select UserParam;034;MDS4;0 
P360;Select UserParam;035;MDS4;0 
P360;Select UserParam;036;MDS4;0 
P360;Select UserParam;037;MDS4;0 
P360;Select UserParam;038;MDS4;0 
P360;Select UserParam;039;MDS4;0 
P360;Select UserParam;040;MDS4;0 
P360;Select UserParam;041;MDS4;0 
P360;Select UserParam;042;MDS4;0 
P360;Select UserParam;043;MDS4;0 
P360;Select UserParam;044;MDS4;0 
P360;Select UserParam;045;MDS4;0 
P360;Select UserParam;046;MDS4;0 
P360;Select UserParam;047;MDS4;0 
P360;Select UserParam;048;MDS4;0 
P360;Select UserParam;049;MDS4;0 
P360;Select UserParam;050;MDS4;0 
P360;Select UserParam;051;MDS4;0 
P360;Select UserParam;052;MDS4;0 
P360;Select UserParam;053;MDS4;0 
P360;Select UserParam;054;MDS4;0 
P360;Select UserParam;055;MDS4;0 
P360;Select UserParam;056;MDS4;0 
P360;Select UserParam;057;MDS4;0 
P360;Select UserParam;058;MDS4;0 
P360;Select UserParam;059;MDS4;0 
P360;Select UserParam;060;MDS4;0 
P360;Select UserParam;061;MDS4;0 
P360;Select UserParam;062;MDS4;0 
P360;Select UserParam;063;MDS4;0 
P360;Select UserParam;064;MDS4;0 
P360;Select UserParam;065;MDS4;0 
P360;Select UserParam;066;MDS4;0 
P360;Select UserParam;067;MDS4;0 
P360;Select UserParam;068;MDS4;0 
P360;Select UserParam;069;MDS4;0 
P360;Select UserParam;070;MDS4;0 
P360;Select UserParam;071;MDS4;0 
P360;Select UserParam;072;MDS4;0 
P360;Select UserParam;073;MDS4;0 
P360;Select UserParam;074;MDS4;0 
P360;Select UserParam;075;MDS4;0 
P360;Select UserParam;076;MDS4;0 
P360;Select UserParam;077;MDS4;0 
P360;Select UserParam;078;MDS4;0 
P360;Select UserParam;079;MDS4;0 
P360;Select UserParam;080;MDS4;0 
P360;Select UserParam;081;MDS4;0 
P360;Select UserParam;082;MDS4;0 
P360;Select UserParam;083;MDS4;0 
P360;Select UserParam;084;MDS4;0 
P360;Select UserParam;085;MDS4;0 
P360;Select UserParam;086;MDS4;0 
P360;Select UserParam;087;MDS4;0 
P360;Select UserParam;088;MDS4;0 
P360;Select UserParam;089;MDS4;0 
P360;Select UserParam;090;MDS4;0 
P360;Select UserParam;091;MDS4;0 
P360;Select UserParam;092;MDS4;0 
P360;Select UserParam;093;MDS4;0 
P360;Select UserParam;094;MDS4;0 
P360;Select UserParam;095;MDS4;0 
P360;Select UserParam;096;MDS4;0 
P360;Select UserParam;097;MDS4;0 
P360;Select UserParam;098;MDS4;0 
P360;Select UserParam;099;MDS4;0 
P360;Select UserParam;100;MDS4;0 
P361;OP Backlight;000;MDS4;[1] dur.operation 
P362;Copy MDS;000;MDS4;0x0 
P363;Copy BICO DSet;000;MDS4;0x0 
P364;Copy FuncDSet;000;MDS4;0x0 
P366;Select FactSet;000;MDS4;[0] Norm Operat 
P368;Select Setp S.;000;MDS4;[1] AnaIn+Termin 
P370;Quick Param;000;MDS4;[0] not active 
P371;Selectivity;000;MDS4;[0] off 
P372;Simulation Mode;000;MDS4;[0] off 
P373;Auto Restart;001;MDS1;0 
P373;Auto Restart;002;MDS2;0 
P373;Auto Restart;003;MDS3;0 
P373;Auto Restart;004;MDS4;0 
P374;AutoRestart Wait;001;MDS1;0 s
P374;AutoRestart Wait;002;MDS2;0 s
P374;AutoRestart Wait;003;MDS3;0 s
P374;AutoRestart Wait;004;MDS4;0 s
P375;Ground Flt Test;000;MDS4;[0] not active 
r376;GrdFltTestResult;000;MDS4;0000000000000000 
r377;Meas Sect;000;MDS4;0 
P379;ambient temp.;001;MDS1;20.00 °C
P379;ambient temp.;002;MDS2;20.00 °C
P379;ambient temp.;003;MDS3;20.00 °C
P379;ambient temp.;004;MDS4;20.00 °C
P380;Mot Tmp Warning;001;MDS1;0 °C
P380;Mot Tmp Warning;002;MDS2;0 °C
P380;Mot Tmp Warning;003;MDS3;0 °C
P380;Mot Tmp Warning;004;MDS4;0 °C
P381;Mot Tmp Fault;001;MDS1;0 °C
P381;Mot Tmp Fault;002;MDS2;0 °C
P381;Mot Tmp Fault;003;MDS3;0 °C
P381;Mot Tmp Fault;004;MDS4;0 °C
P382;Motor Cooling;001;MDS1;[0] self cooled 
P382;Motor Cooling;002;MDS2;[0] self cooled 
P382;Motor Cooling;003;MDS3;[0] self cooled 
P382;Motor Cooling;004;MDS4;[0] self cooled 
P383;Mot ThermT-Const;001;MDS1;0 s
P383;Mot ThermT-Const;002;MDS2;100 s
P383;Mot ThermT-Const;003;MDS3;100 s
P383;Mot ThermT-Const;004;MDS4;100 s
P384;Mot Load Limits;001;WARN;100 %
P384;Mot Load Limits;002;FLT;100 %
P385;S.motor temp.;001;BiCoDS 1;K245  MotTemp 
P385;S.motor temp.;002;BiCoDS 2;K245  MotTemp 
P386;RotResistTmpAdap;001;MDS1;[0] not active 
P386;RotResistTmpAdap;002;MDS2;[0] not active 
P386;RotResistTmpAdap;003;MDS3;[0] not active 
P386;RotResistTmpAdap;004;MDS4;[0] not active 
P387;Motor Series;001;MDS1;[1] 1LA5/1LA7... 
P387;Motor Series;002;MDS2;[1] 1LA5/1LA7... 
P387;Motor Series;003;MDS3;[1] 1LA5/1LA7... 
P387;Motor Series;004;MDS4;[1] 1LA5/1LA7... 
P388;Motor Weight;001;MDS1;43 kg
P388;Motor Weight;002;MDS2;43 kg
P388;Motor Weight;003;MDS3;43 kg
P388;Motor Weight;004;MDS4;43 kg
P389;Internal Fan;001;MDS1;[0] no int. fan 
P389;Internal Fan;002;MDS2;[0] no int. fan 
P389;Internal Fan;003;MDS3;[0] no int. fan 
P389;Internal Fan;004;MDS4;[0] no int. fan 
P390;Overtemp. Factor;001;MDS1;100.0 %
P390;Overtemp. Factor;002;MDS2;100.0 %
P390;Overtemp. Factor;003;MDS3;100.0 %
P390;Overtemp. Factor;004;MDS4;100.0 %
P391;K(overtemp.,rot);001;MDS1;100.0 %
P391;K(overtemp.,rot);002;MDS2;100.0 %
P391;K(overtemp.,rot);003;MDS3;100.0 %
P391;K(overtemp.,rot);004;MDS4;100.0 %
P392;Iron Losses;001;MDS1;1.72 %
P392;Iron Losses;002;MDS2;1.72 %
P392;Iron Losses;003;MDS3;1.72 %
P392;Iron Losses;004;MDS4;1.72 %
r393;Model Temp.;001;T(r);69.31 °C
r393;Model Temp.;002;T(s);57.47 °C
r393;Model Temp.;003;T(f);42.68 °C
r393;Model Temp.;004;T(e);20.01 °C
P394;S.StartDCBrake;001;BiCoDS 1;B0  FixBinector 0 
P394;S.StartDCBrake;002;BiCoDS 2;B0  FixBinector 0 
P395;DC Braking;001;MDS1;[0] off 
P395;DC Braking;002;MDS2;[0] off 
P395;DC Braking;003;MDS3;[0] off 
P395;DC Braking;004;MDS4;[0] off 
P396;DC Braking Amps;001;MDS1;11.0 A
P396;DC Braking Amps;002;MDS2;13.2 A
P396;DC Braking Amps;003;MDS3;13.2 A
P396;DC Braking Amps;004;MDS4;13.2 A
P397;DC Braking Time;001;MDS1;5.0 s
P397;DC Braking Time;002;MDS2;5.0 s
P397;DC Braking Time;003;MDS3;5.0 s
P397;DC Braking Time;004;MDS4;5.0 s
P398;DC Braking Freq;001;MDS1;100.0 Hz
P398;DC Braking Freq;002;MDS2;100.0 Hz
P398;DC Braking Freq;003;MDS3;100.0 Hz
P398;DC Braking Freq;004;MDS4;100.0 Hz
P399;Special Access;000;MDS4;0 
P401;Fixed Setp 1;001;FDS 1;0.000 %
P401;Fixed Setp 1;002;FDS 2;0.000 %
P401;Fixed Setp 1;003;FDS 3;0.000 %
P401;Fixed Setp 1;004;FDS 4;0.000 %
P402;Fixed Setp 2;001;FDS 1;0.000 %
P402;Fixed Setp 2;002;FDS 2;0.000 %
P402;Fixed Setp 2;003;FDS 3;0.000 %
P402;Fixed Setp 2;004;FDS 4;0.000 %
P403;Fixed Setp 3;001;FDS 1;0.000 %
P403;Fixed Setp 3;002;FDS 2;0.000 %
P403;Fixed Setp 3;003;FDS 3;0.000 %
P403;Fixed Setp 3;004;FDS 4;0.000 %
P404;Fixed Setp 4;001;FDS 1;0.000 %
P404;Fixed Setp 4;002;FDS 2;0.000 %
P404;Fixed Setp 4;003;FDS 3;0.000 %
P404;Fixed Setp 4;004;FDS 4;0.000 %
P405;Fixed Setp 5;001;FDS 1;0.000 Hz
P405;Fixed Setp 5;002;FDS 2;0.000 Hz
P405;Fixed Setp 5;003;FDS 3;0.000 Hz
P405;Fixed Setp 5;004;FDS 4;0.000 Hz
P406;Fixed Setp 6;001;FDS 1;0.000 Hz
P406;Fixed Setp 6;002;FDS 2;0.000 Hz
P406;Fixed Setp 6;003;FDS 3;0.000 Hz
P406;Fixed Setp 6;004;FDS 4;0.000 Hz
P407;Fixed Setp 7;001;FDS 1;0.000 Hz
P407;Fixed Setp 7;002;FDS 2;0.000 Hz
P407;Fixed Setp 7;003;FDS 3;0.000 Hz
P407;Fixed Setp 7;004;FDS 4;0.000 Hz
P408;Fixed Setp 8;001;FDS 1;0.000 Hz
P408;Fixed Setp 8;002;FDS 2;0.000 Hz
P408;Fixed Setp 8;003;FDS 3;0.000 Hz
P408;Fixed Setp 8;004;FDS 4;0.000 Hz
P409;Fixed Setp 9;001;FDS 1;0.0 min¯¹
P409;Fixed Setp 9;002;FDS 2;0.0 min¯¹
P409;Fixed Setp 9;003;FDS 3;0.0 min¯¹
P409;Fixed Setp 9;004;FDS 4;0.0 min¯¹
P410;Fixed Setp 10;001;FDS 1;0.0 min¯¹
P410;Fixed Setp 10;002;FDS 2;0.0 min¯¹
P410;Fixed Setp 10;003;FDS 3;0.0 min¯¹
P410;Fixed Setp 10;004;FDS 4;0.0 min¯¹
P411;Fixed Setp 11;001;FDS 1;0.0 min¯¹
P411;Fixed Setp 11;002;FDS 2;0.0 min¯¹
P411;Fixed Setp 11;003;FDS 3;0.0 min¯¹
P411;Fixed Setp 11;004;FDS 4;0.0 min¯¹
P412;Fixed Setp 12;001;FDS 1;0.0 min¯¹
P412;Fixed Setp 12;002;FDS 2;0.0 min¯¹
P412;Fixed Setp 12;003;FDS 3;0.0 min¯¹
P412;Fixed Setp 12;004;FDS 4;0.0 min¯¹
P417;S.FSetp Bit2;001;BiCoDS 1;B1  FixBinector 1 
P417;S.FSetp Bit2;002;BiCoDS 2;B1  FixBinector 1 
P418;S.FSetp Bit3;001;BiCoDS 1;B0  FixBinector 0 
P418;S.FSetp Bit3;002;BiCoDS 2;B0  FixBinector 0 
r419;# Active FSetp;000;BiCoDS 2;5 
r420;Active FSetp;000;BiCoDS 2;0.000 %
P421;MOP (max);000;BiCoDS 2;100.0 %
P422;MOP (min);000;BiCoDS 2;0.0 %
P423;S.MOP inv.;000;BiCoDS 2;B0  FixBinector 0 
r424;MOP (Out);000;BiCoDS 2;91.63 %
P425;Conf MOP;000;BiCoDS 2;0x110 
P426;StartValue MOP;000;BiCoDS 2;0.0 %
P427;S.Set MOP;000;BiCoDS 2;B0  FixBinector 0 
P428;S.SetV MOP;000;BiCoDS 2;K0  FixConn 0% 
P429;S.Auto Setp;000;BiCoDS 2;K0  FixConn 0% 
P430;S.Manual/Auto;000;BiCoDS 2;B0  FixBinector 0 
P431;MOP Accel Time;000;BiCoDS 2;5.0 s
P432;MOP Decel Time;000;BiCoDS 2;5.0 s
P433;S.AddSetpoint1;001;BiCoDS 1;K0  FixConn 0% 
P433;S.AddSetpoint1;002;BiCoDS 2;K0  FixConn 0% 
P434;Scale Add Setp1;001;FDS 1;100.00 %
P434;Scale Add Setp1;002;FDS 2;100.00 %
P434;Scale Add Setp1;003;FDS 3;100.00 %
P434;Scale Add Setp1;004;FDS 4;100.00 %
r437;Add Setpoint 1;000;FDS 4;0.000 %
P438;S.AddSetpoint2;001;BiCoDS 1;K467  MUL K 1.04 
P438;S.AddSetpoint2;002;BiCoDS 2;K0  FixConn 0% 
P439;Scale Add Setp2;001;FDS 1;100.00 %
P439;Scale Add Setp2;002;FDS 2;100.00 %
P439;Scale Add Setp2;003;FDS 3;100.00 %
P439;Scale Add Setp2;004;FDS 4;100.00 %
P440;SrcDiaFactor;000;FDS 4;K1  FixConn 100% 
r441;Actual speed;000;FDS 4;0.000000 
r442;Add Setpoint 2;000;FDS 4;0.000 %
P443;S.MainSetpoint;001;BiCoDS 1;KK58  MOP (Output) 
P443;S.MainSetpoint;002;BiCoDS 2;KK58  MOP (Output) 
P444;Scale Main Setp;001;FDS 1;100.00 %
P444;Scale Main Setp;002;FDS 2;100.00 %
P444;Scale Main Setp;003;FDS 3;100.00 %
P444;Scale Main Setp;004;FDS 4;100.00 %
P445;Base Setpoint;001;FDS 1;0.0 %
P445;Base Setpoint;002;FDS 2;0.0 %
P445;Base Setpoint;003;FDS 3;0.0 %
P445;Base Setpoint;004;FDS 4;0.0 %
r446;Main Setp (act);000;FDS 4;91.631237 
r447;Main Setp (act);000;FDS 4;91.632 %
P448;Jog Setp 1;000;FDS 4;10.000 %
P449;Jog Setp 2;000;FDS 4;20.000 %
r451;n/f(set,total1);000;FDS 4;91.632 %
P452;n/f(max, FWD Spd;001;MDS1;105.0 %
P452;n/f(max, FWD Spd;002;MDS2;110.0 %
P452;n/f(max, FWD Spd;003;MDS3;110.0 %
P452;n/f(max, FWD Spd;004;MDS4;110.0 %
P453;n/f(max,REV Spd);001;MDS1;-105.0 %
P453;n/f(max,REV Spd);002;MDS2;-110.0 %
P453;n/f(max,REV Spd);003;MDS3;-110.0 %
P453;n/f(max,REV Spd);004;MDS4;-110.0 %
P455;Skip Value;001;FDS 1;0.0 %
P455;Skip Value;002;FDS 2;0.0 %
P455;Skip Value;003;FDS 3;0.0 %
P455;Skip Value;004;FDS 4;0.0 %
P456;Skip Freq Width;001;FDS 1;5.0 %
P456;Skip Freq Width;002;FDS 2;5.0 %
P456;Skip Freq Width;003;FDS 3;5.0 %
P456;Skip Freq Width;004;FDS 4;5.0 %
P457;Min Setp;001;FDS 1;0.0 %
P457;Min Setp;002;FDS 2;0.0 %
P457;Min Setp;003;FDS 3;0.0 %
P457;Min Setp;004;FDS 4;0.0 %
r460;n/f(set,Ramp IN);000;FDS 4;91.632 %
P462;Accel. Time;001;FDS 1;5.0 
P462;Accel. Time;002;FDS 2;10.0 
P462;Accel. Time;003;FDS 3;10.0 
P462;Accel. Time;004;FDS 4;10.0 
P463;Accel. Time Unit;001;FDS 1;[0] Sec 
P463;Accel. Time Unit;002;FDS 2;[0] Sec 
P463;Accel. Time Unit;003;FDS 3;[0] Sec 
P463;Accel. Time Unit;004;FDS 4;[0] Sec 
P464;Decel. Time;001;FDS 1;5.0 
P464;Decel. Time;002;FDS 2;10.0 
P464;Decel. Time;003;FDS 3;10.0 
P464;Decel. Time;004;FDS 4;10.0 
P465;Decel. Time Unit;001;FDS 1;[0] Sec 
P465;Decel. Time Unit;002;FDS 2;[0] Sec 
P465;Decel. Time Unit;003;FDS 3;[0] Sec 
P465;Decel. Time Unit;004;FDS 4;[0] Sec 
P466;Decel. Time OFF3;001;OFF3 DecelTime;1.0 s
P466;Decel. Time OFF3;002;OFF3 ALockTime;0.0 s
P467;ProtRampGen Gain;001;FDS 1;4.0 
P467;ProtRampGen Gain;002;FDS 2;1.0 
P467;ProtRampGen Gain;003;FDS 3;1.0 
P467;ProtRampGen Gain;004;FDS 4;1.0 
P468;RGen Round Type;000;FDS 4;0 
P469;Ramp StartSmooth;001;FDS 1;0.50 s
P469;Ramp StartSmooth;002;FDS 2;0.50 s
P469;Ramp StartSmooth;003;FDS 3;0.50 s
P469;Ramp StartSmooth;004;FDS 4;0.50 s
P470;Ramp End Smooth;001;FDS 1;0.50 s
P470;Ramp End Smooth;002;FDS 2;0.50 s
P470;Ramp End Smooth;003;FDS 3;0.50 s
P470;Ramp End Smooth;004;FDS 4;0.50 s
P471;Scale Torq(PRE);001;MDS1;100.0 %
P471;Scale Torq(PRE);002;MDS2;0.0 %
P471;Scale Torq(PRE);003;MDS3;0.0 %
P471;Scale Torq(PRE);004;MDS4;0.0 %
P473;S.ScaleT(FWD);001;BiCoDS 1;K1  FixConn 100% 
P473;S.ScaleT(FWD);002;BiCoDS 2;K1  FixConn 100% 
P475;Ramp Limitation;000;BiCoDS 2;0.0 %
P476;RampGen Act Hyst;000;BiCoDS 2;1.0 %
P477;S.Set Rgen;001;BiCoDS 1;B0  FixBinector 0 
P477;S.Set Rgen;002;BiCoDS 2;B0  FixBinector 0 
P478;S.SetV Rgen;001;BiCoDS 1;K0  FixConn 0% 
P478;S.SetV Rgen;002;BiCoDS 2;K0  FixConn 0% 
r480;n/f(set,rampOUT);000;BiCoDS 2;91.632 %
r481;n/f(set,total2);000;BiCoDS 2;91.632 %
r482;n/f(set);000;BiCoDS 2;91.632 %
P483;S.n/f(max,pos);001;BiCoDS 1;KK2  FixConn 200% 
P483;S.n/f(max,pos);002;BiCoDS 2;KK2  FixConn 200% 
P484;S.n/f/(max,reg;001;BiCoDS 1;KK2  FixConn 200% 
P484;S.n/f/(max,reg;002;BiCoDS 2;KK2  FixConn 200% 
P486;S.Torque Setp;001;BiCoDS 1;K0  FixConn 0% 
P486;S.Torque Setp;002;BiCoDS 2;K0  FixConn 0% 
P487;Scale Torq Sept;001;FDS 1;100.00 %
P487;Scale Torq Sept;002;FDS 2;100.00 %
P487;Scale Torq Sept;003;FDS 3;100.00 %
